orderbook_timestamp,book,bid,ask,spread
2023-09-02T19:18:30+00:00,btc_mxn,441160.0,441160.01,2.2667512427777e-06
2023-09-02T19:18:31+00:00,usd_mxn,17.09,17.1,0.058479532163751825
